,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420
44,,,"0,150","0,170","0,180","0,200","0,210","0,230","0,240","0,260","0,280","0,290","0,310","0,320","0,340","0,350","0,370","0,390","0,400","0,420","0,440","0,450","0,470","0,490","0,500","0,520","0,540","0,550","0,570","0,590","0,600","0,620",,,
45,,,"0,160","0,180","0,190","0,210","0,220","0,240","0,250","0,270","0,290","0,300","0,320","0,340","0,350","0,370","0,390","0,400","0,420","0,440","0,450","0,470","0,490","0,510","0,520","0,540","0,560","0,580","0,590","0,610","0,630","0,650",,,
46,,,"0,170","0,180","0,200","0,220","0,230","0,250","0,270","0,280","0,300","0,320","0,330","0,350","0,370","0,390","0,400","0,420","0,440","0,460","0,470","0,490","0,510","0,530","0,550","0,560","0,580","0,600","0,620","0,640","0,660","0,680",,,
47,,,"0,170","0,190","0,210","0,220","0,240","0,260","0,280","0,290","0,310","0,330","0,350","0,370","0,380","0,400","0,420","0,440","0,460","0,470","0,490","0,510","0,530","0,550","0,570","0,590","0,610","0,620","0,640","0,660","0,680","0,700",,,
48,,,"0,180","0,200","0,220","0,230","0,250","0,270","0,290","0,310","0,330","0,340","0,360","0,380","0,400","0,420","0,440","0,460","0,480","0,490","0,510","0,530","0,550","0,570","0,590","0,610","0,630","0,650","0,670","0,690","0,710","0,730",,,
49,,,"0,190","0,210","0,230","0,240","0,260","0,280","0,300","0,320","0,340","0,360","0,380","0,400","0,420","0,430","0,450","0,470","0,490","0,510","0,530","0,550","0,570","0,590","0,610","0,630","0,660","0,680","0,700","0,720","0,740","0,760",,,
50,,,"0,200","0,210","0,230","0,250","0,270","0,290","0,310","0,330","0,350","0,370","0,390","0,410","0,430","0,450","0,470","0,490","0,510","0,530","0,550","0,580","0,600","0,620","0,640","0,660","0,680","0,700","0,720","0,750","0,770","0,790",,,
51,,,"0,200","0,220","0,240","0,260","0,280","0,300","0,320","0,340","0,370","0,390","0,410","0,430","0,450","0,470","0,490","0,510","0,530","0,550","0,580","0,600","0,620","0,640","0,660","0,680","0,710","0,730","0,750","0,770","0,800","0,820",,,
52,,,"0,210","0,230","0,250","0,270","0,290","0,310","0,340","0,360","0,380","0,400","0,420","0,440","0,460","0,490","0,510","0,530","0,550","0,570","0,600","0,620","0,640","0,660","0,690","0,710","0,730","0,760","0,780","0,800","0,820","0,850",,,
53,,,"0,220","0,240","0,260","0,280","0,310","0,330","0,350","0,370","0,390","0,410","0,440","0,460","0,480","0,500","0,530","0,550","0,570","0,600","0,620","0,640","0,670","0,690","0,710","0,740","0,760","0,780","0,810","0,830","0,860","0,880",,,
54,,,"0,230","0,250","0,270","0,290","0,320","0,340","0,360","0,380","0,410","0,430","0,450","0,480","0,500","0,520","0,550","0,570","0,590","0,620","0,640","0,660","0,690","0,710","0,740","0,760","0,790","0,810","0,830","0,860","0,880","0,910",,,
55,,,"0,230","0,260","0,280","0,300","0,330","0,350","0,370","0,400","0,420","0,450","0,470","0,490","0,520","0,540","0,570","0,590","0,610","0,640","0,660","0,690","0,710","0,740","0,760","0,790","0,810","0,840","0,860","0,890","0,920","0,940",,,
